challenge_team_id,challenge_team_abbr,challenge_side,attempts,overturns,confirms,overturn_rate,direct_wpa,option_wpa_proxy,total_xwpa,risk_adjusted_xwpa,xwpa_per_challenge,risk_adjusted_per_challenge,wpa_if_overturned,savant_challenge_runs,strikeout_flips,walk_flips,exhausting_fails
108,LAA,batting,39,16,23,0.41025641025641024,0.39557507875369935,-0.5198,0.39557507875369935,-0.12422492124630072,0.010142950737274342,-0.0031852543909307875,0.8146201005156014,-1.2066302477629225,7,5,8
119,LAD,fielding,38,24,14,0.631578947368421,0.39062497272330593,-0.3164,0.39062497272330593,0.07422497272330589,0.010279604545350157,0.001953288755876471,0.813032397304496,0.5373832554860243,6,2,2
158,MIL,fielding,43,26,17,0.6046511627906976,0.36534966899697247,-0.38420000000000004,0.36534966899697247,-0.018850331003027545,0.008496503930162151,-0.00043837979076808244,0.964657335226821,-0.3331403856211148,3,1,7
114,CLE,fielding,29,15,14,0.5172413793103449,0.3625122605266908,-0.3164,0.3625122605266908,0.04611226052669075,0.012500422776782441,0.0015900779491962328,0.6780476020039361,0.07546453858022495,7,2,4
136,SEA,batting,33,16,17,0.48484848484848486,0.358713868840876,-0.38420000000000004,0.358713868840876,-0.025486131159124015,0.010870117237602304,-0.0007723070048219398,0.7594377588745433,-0.8776271741885291,6,4,3
116,DET,batting,37,17,20,0.4594594594594595,0.3553885819426699,-0.45200000000000007,0.3553885819426699,-0.09661141805733012,0.00960509680926135,-0.002611119406954868,0.9356306302421584,-1.3868876535804766,7,4,6
144,ATL,batting,36,14,22,0.3888888888888889,0.35475653228201454,-0.49720000000000003,0.35475653228201454,-0.14244346771798552,0.009854348118944848,-0.003956762992166265,0.7701015768274526,-1.8683959681937568,6,3,8
110,BAL,fielding,24,13,11,0.5416666666666666,0.35194278684232483,-0.24860000000000002,0.35194278684232483,0.10334278684232481,0.014664282785096868,0.004305949451763534,0.6173694269595995,0.4441454442499184,5,3,2
115,COL,batting,37,14,23,0.3783783783783784,0.3273844120414358,-0.5198,0.3273844120414358,-0.19241558795856423,0.008848227352471238,-0.005200421296177412,0.9931941500206077,-2.1488637439406686,5,1,8
145,CWS,batting,29,14,15,0.4827586206896552,0.3271970404258031,-0.339,0.3271970404258031,-0.011802959574196907,0.011282656566407003,-0.0004069986060067899,0.8792366519918136,-1.1564362214808148,2,1,6
